,_id,amenities
0,1003530,Internet
1,1003530,Wifi
2,1003530,Air conditioning
3,1003530,Kitchen
4,1003530,Elevator
5,1003530,Buzzer/wireless intercom
6,1003530,Heating
7,1003530,Family/kid friendly
8,1003530,Washer
9,1003530,Dryer
10,1003530,translation missing: en.hosting_amenity_50
11,10133554,Internet
12,10133554,Wifi
13,10133554,Air conditioning
14,10133554,Free parking on premises
15,10133554,Smoking allowed
16,10133554,Heating
17,10133554,Family/kid friendly
18,10133554,Suitable for events
19,10133554,Washer
20,10133554,Dryer
21,10133554,Fire extinguisher
22,10133554,Essentials
23,10133554,Shampoo
24,10133554,Hangers
25,10133554,Hair dryer
26,10133554,Iron
27,10133554,Laptop friendly workspace
28,10133554,Self check-in
29,10133554,Building staff
30,10059872,Air conditioning
31,10059872,Kitchen
32,10059872,Smoking allowed
33,10059872,Doorman
34,10059872,Elevator
35,10059872,Heating
36,10059872,Family/kid friendly
37,10059872,Essentials
38,10059872,24-hour check-in
39,10059872,translation missing: en.hosting_amenity_50
40,10084023,TV
41,10084023,Wifi
42,10084023,Air conditioning
43,10084023,Kitchen
44,10084023,Elevator
45,10084023,First aid kit
46,10084023,Hangers
47,10084023,Hair dryer
48,10084023,Iron
49,10084023,Laptop friendly workspace
50,10084023,Hot water
51,10084023,Microwave
52,10084023,Refrigerator
53,10084023,Dishes and silverware
54,10084023,Stove
55,10084023,Long term stays allowed
56,10084023,Host greets you
57,10091713,TV
58,10091713,Wifi
59,10091713,Kitchen
60,10091713,Elevator
61,10091713,Heating
62,10091713,Washer
63,10091713,Dryer
64,10091713,Smoke detector
65,10091713,Essentials
66,10091713,Shampoo
67,10091713,Iron
68,10091713,Laptop friendly workspace
69,10091713,translation missing: en.hosting_amenity_49
70,10091713,translation missing: en.hosting_amenity_50
71,10091713,Hot water
72,10091713,Bed linens
73,10091713,Ethernet connection
74,10091713,Other
75,10112159,TV
76,10112159,Cable TV
77,10112159,Wifi
78,10112159,Family/kid friendly
79,10112159,Smoke detector
80,10112159,Fire extinguisher
81,10112159,Essentials
82,10112159,Shampoo
83,10112159,Lock on bedroom door
84,10112159,Hangers
85,10112159,Hair dryer
86,10112159,Hot water
87,10112159,Long term stays allowed
88,10112159,Other
89,10096773,TV
90,10096773,Internet
91,10096773,Wifi
92,10096773,Kitchen
93,10096773,Heating
94,10096773,Smoke detector
95,10096773,Carbon monoxide detector
96,10096773,Fire extinguisher
97,10096773,Essentials
98,10140368,Wifi
99,10140368,Kitchen
100,10140368,Free street parking
101,10140368,Heating
102,10140368,Family/kid friendly
103,10140368,Smoke detector
104,10140368,Carbon monoxide detector
105,10140368,Essentials
106,10140368,Shampoo
107,10140368,Lock on bedroom door
108,10140368,Hangers
109,10140368,Hair dryer
110,10140368,Iron
111,10140368,Laptop friendly workspace
112,10140368,translation missing: en.hosting_amenity_50
113,10140368,Private entrance
114,10140368,Hot water
115,10140368,Host greets you
116,10021707,Internet
117,10021707,Wifi
118,10021707,Air conditioning
119,10021707,Kitchen
120,10021707,Buzzer/wireless intercom
121,10021707,Heating
122,10021707,Smoke detector
123,10021707,Carbon monoxide detector
124,10021707,Essentials
125,10021707,Lock on bedroom door
126,10038496,TV
127,10038496,Cable TV
128,10038496,Internet
129,10038496,Wifi
130,10038496,Air conditioning
131,10038496,Kitchen
132,10038496,Paid parking off premises
133,10038496,Smoking allowed
134,10038496,Doorman
135,10038496,Elevator
136,10038496,Buzzer/wireless intercom
137,10038496,Family/kid friendly
138,10038496,Washer
139,10038496,Fire extinguisher
140,10038496,Essentials
141,10038496,Hangers
142,10038496,Hair dryer
143,10038496,Iron
144,10038496,Laptop friendly workspace
145,10038496,Hot water
146,10038496,Bed linens
147,10038496,Extra pillows and blankets
148,10038496,Microwave
149,10038496,Coffee maker
150,10038496,Refrigerator
151,10038496,Dishes and silverware
152,10038496,Oven
153,10038496,Stove
154,10038496,Long term stays allowed
155,10038496,Wide hallway clearance
156,10038496,Host greets you
157,10059244,TV
158,10059244,Internet
159,10059244,Wifi
160,10059244,Kitchen
161,10059244,Free parking on premises
162,10059244,Heating
163,10059244,Washer
164,10059244,Smoke detector
165,10059244,Essentials
166,10059244,Shampoo
167,10059244,Laptop friendly workspace
168,10059244,Hot water
169,10059244,Bed linens
170,10116578,Cable TV
171,10116578,Wifi
172,10116578,Air conditioning
173,10116578,Wheelchair accessible
174,10116578,Kitchen
175,10116578,Free parking on premises
176,10116578,Doorman
177,10116578,Elevator
178,10116578,Buzzer/wireless intercom
179,10116578,Family/kid friendly
180,10116578,Washer
181,10116578,24-hour check-in
182,10116578,Iron
183,10009999,Wifi
184,10009999,Wheelchair accessible
185,10009999,Kitchen
186,10009999,Free parking on premises
187,10009999,Smoking allowed
188,10009999,Hot tub
189,10009999,Buzzer/wireless intercom
190,10009999,Family/kid friendly
191,10009999,Washer
192,10009999,First aid kit
193,10009999,Essentials
194,10009999,Hangers
195,10009999,Hair dryer
196,10009999,Iron
197,10009999,Laptop friendly workspace
198,10066928,Internet
199,10066928,Wifi
200,10066928,Kitchen
201,10066928,Heating
202,10066928,Family/kid friendly
203,10066928,Washer
204,10066928,Dryer
205,10066928,Essentials
206,10066928,Shampoo
207,10066928,Hangers
208,10066928,Hair dryer
209,10066928,Iron
210,10066928,Laptop friendly workspace
211,10115921,TV
212,10115921,Cable TV
213,10115921,Internet
214,10115921,Wifi
215,10115921,Air conditioning
216,10115921,Wheelchair accessible
217,10115921,Kitchen
218,10115921,Paid parking off premises
219,10115921,Smoking allowed
220,10115921,Doorman
221,10115921,Elevator
222,10115921,Buzzer/wireless intercom
223,10115921,Heating
224,10115921,Family/kid friendly
225,10115921,Suitable for events
226,10115921,Dryer
227,10115921,Smoke detector
228,10115921,Carbon monoxide detector
229,10115921,First aid kit
230,10115921,Safety card
231,10115921,Fire extinguisher
232,10115921,Essentials
233,10115921,Shampoo
234,10115921,24-hour check-in
235,10115921,Hangers
236,10115921,Hair dryer
237,10115921,Iron
238,10115921,Laptop friendly workspace
239,10115921,Self check-in
240,10115921,Building staff
241,10115921,Crib
242,10115921,Hot water
243,10115921,Luggage dropoff allowed
244,10115921,Long term stays allowed
245,10083468,TV
246,10083468,Cable TV
247,10083468,Wifi
248,10083468,Kitchen
249,10083468,Smoking allowed
250,10083468,First aid kit
251,10083468,Fire extinguisher
252,10083468,Essentials
253,10083468,Hangers
254,10083468,Hair dryer
255,10083468,Iron
256,10083468,Laptop friendly workspace
257,10083468,translation missing: en.hosting_amenity_49
258,10083468,translation missing: en.hosting_amenity_50
259,10083468,Hot water
260,10083468,Bed linens
261,10083468,Extra pillows and blankets
262,10083468,Microwave
263,10083468,Coffee maker
264,10083468,Refrigerator
265,10083468,Dishes and silverware
266,10083468,Cooking basics
267,10083468,Stove
268,10083468,Long term stays allowed
269,10083468,Well-lit path to entrance
270,10083468,Step-free access
271,10083468,Wide clearance to bed
272,10083468,Accessible-height bed
273,10083468,Step-free access
274,10083468,Step-free access
275,10083468,Handheld shower head
276,10083468,Paid parking on premises
277,10117617,TV
278,10117617,Kitchen
279,10117617,Elevator
280,10117617,Buzzer/wireless intercom
281,10117617,Heating
282,10117617,Family/kid friendly
283,10117617,Washer
284,10117617,First aid kit
285,10117617,Safety card
286,10117617,Fire extinguisher
287,10117617,Essentials
288,10117617,Shampoo
289,10117617,Hangers
290,10117617,Iron
291,10117617,Laptop friendly workspace
292,10117617,translation missing: en.hosting_amenity_49
293,10117617,Bathtub
294,10117617,Beachfront
295,10133350,TV
296,10133350,Cable TV
297,10133350,Internet
298,10133350,Wifi
299,10133350,Air conditioning
300,10133350,Kitchen
301,10133350,Pets allowed
302,10133350,Pets live on this property
303,10133350,Buzzer/wireless intercom
304,10133350,Heating
305,10133350,Family/kid friendly
306,10133350,Essentials
307,10133350,Shampoo
308,10133350,Hair dryer
309,10133350,Iron
310,10133350,Laptop friendly workspace
311,10051164,TV
312,10051164,Cable TV
313,10051164,Internet
314,10051164,Wifi
315,10051164,Air conditioning
316,10051164,Kitchen
317,10051164,Smoking allowed
318,10051164,Family/kid friendly
319,10051164,First aid kit
320,10051164,Fire extinguisher
321,10051164,Essentials
322,10082307,TV
323,10082307,Internet
324,10082307,Wifi
325,10082307,Air conditioning
