,_id,availability_30,availability_60,availability_90,availability_365
0,1003530,0,0,0,93
1,10133554,30,60,90,365
2,10059872,0,0,0,0
3,10084023,14,24,40,220
4,10091713,0,0,0,0
5,10112159,30,60,87,359
6,10096773,0,0,0,0
7,10140368,20,29,29,34
8,10021707,0,0,0,0
9,10038496,7,19,33,118
10,10059244,0,0,0,32
11,10116578,30,60,90,365
12,10009999,0,0,0,0
13,10066928,0,0,0,0
14,10115921,30,60,90,365
15,10083468,16,40,67,335
16,10117617,0,0,0,46
17,10133350,0,0,0,0
18,10051164,10,10,21,296
19,10082307,30,60,90,365
20,10069642,0,0,0,0
21,10108388,5,16,35,265
22,10082422,0,0,0,0
23,10120414,0,0,0,0
24,10138784,30,60,90,365
25,10030955,28,58,88,363
26,10006546,28,47,74,239
27,10047964,27,57,87,362
28,1001265,16,46,76,343
29,10116256,30,60,90,365
30,10109896,0,0,0,0
31,10057447,0,0,0,0
32,10057826,30,31,31,243
33,10092679,3,19,37,37
34,10228731,28,58,88,178
35,1019168,0,0,0,0
36,10240767,18,41,67,339
37,1022200,0,13,43,196
38,10227000,30,60,90,365
39,10186755,30,60,90,365
40,10141950,0,0,0,0
41,10184012,30,60,90,365
42,10233856,30,60,90,145
43,10215858,20,50,80,135
44,10199760,30,60,90,365
45,10201975,24,54,84,174
46,10213499,0,0,25,26
47,10264100,11,41,71,247
48,10209136,0,0,0,0
49,10220130,0,0,0,0
50,10166986,0,0,0,0
51,10166883,0,0,0,0
52,1016739,0,0,19,20
53,10295352,0,0,0,0
54,10267144,18,40,70,345
55,10266175,0,3,16,246
56,10299095,0,0,0,0
57,103161,28,58,88,363
58,10269320,13,43,62,278
59,102995,0,3,5,5
60,10280433,20,45,75,165
61,10306879,28,58,88,363
62,10423504,0,0,0,0
63,10359729,0,0,0,0
64,10317142,10,17,26,229
65,10578580,3,26,53,323
66,10664888,3,12,24,243
67,10542174,0,0,0,0
68,10570041,17,47,77,342
69,1038163,17,36,55,317
70,10448594,0,0,0,27
71,10487917,16,42,61,309
72,10488837,30,60,90,365
73,1069531,3,5,11,276
74,10545725,0,0,0,0
75,10332161,0,0,0,0
76,10612199,5,35,65,339
77,10471178,30,60,90,365
78,10519173,22,52,82,172
79,10677883,23,53,83,358
80,10373872,0,11,41,316
81,10548991,11,37,48,267
82,10596036,0,0,0,0
83,1067052,20,47,77,352
84,10431455,0,0,0,0
85,10459480,30,60,90,365
86,10486984,18,29,51,326
87,10648267,0,0,0,0
88,10675315,0,0,0,0
89,10354347,30,60,90,365
90,10383490,30,60,90,365
91,10628126,5,25,46,214
92,10639317,0,0,0,0
93,10552362,0,0,0,0
94,1036027,0,10,15,264
95,10343118,20,50,80,170
96,10324377,22,52,82,357
97,1042446,5,26,35,228
98,10624493,0,0,0,0
99,10415637,24,45,60,309
100,10527212,30,60,90,365
101,10573225,6,10,12,204
102,1068505,5,35,64,64
103,10381879,28,58,88,347
104,1063491,12,26,49,317
105,10458796,0,3,3,3
106,10449328,30,60,90,365
107,10416859,0,0,0,0
108,10392282,12,27,53,321
109,10581101,19,32,48,211
110,10635276,0,0,0,0
111,10659534,0,0,0,0
112,1066648,23,53,83,358
113,1047087,30,60,90,365
114,10527243,12,39,65,65
115,10545815,1,6,8,168
116,10560325,0,16,46,314
117,10411341,3,18,41,316
118,10558807,13,16,27,174
119,1058555,23,44,74,336
120,10671783,0,0,0,0
121,1074008,30,60,90,365
122,10802909,8,14,27,253
123,10742116,10,10,22,297
124,1073607,0,0,0,232
125,1079887,8,10,15,280
126,10751153,29,59,84,359
127,10752737,0,0,0,0
128,10706900,11,41,63,329
129,1070322,19,27,38,289
130,1077686,30,60,90,365
131,10782351,8,38,68,343
132,10716793,0,0,0,0
133,10908640,0,0,0,0
134,10887852,1,1,1,66
135,10828339,30,60,90,180
136,10840938,7,24,47,306
137,10839973,30,60,85,360
138,10816768,4,10,30,108
139,10812136,0,0,0,0
140,10893326,0,0,0,0
141,10857454,13,16,30,198
142,10855800,0,0,0,0
143,10852990,23,53,83,358
144,10819035,30,60,90,365
145,10862541,0,0,0,0
146,1090153,28,58,88,363
147,1089542,15,42,42,100
148,10839801,19,22,50,140
149,10850008,30,60,87,267
150,10911771,0,0,0,32
151,1092760,1,9,25,300
152,10948197,28,58,88,88
153,10932304,13,18,37,312
154,10977704,9,32,62,62
155,1095174,5,21,40,215
156,10992286,30,60,85,360
157,1104768,10,29,52,295
158,11007058,14,44,74,283
159,10990260,30,60,90,365
160,1101035,11,17,30,276
161,11055163,0,26,56,236
162,11095139,23,53,83,173
163,11097962,28,53,82,357
164,1098211,0,0,0,0
165,11093339,2,10,21,272
166,11007542,29,59,89,364
167,10985735,0,0,0,0
168,11006512,18,48,78,287
169,11012484,0,0,0,0
170,10992671,29,59,89,364
171,11005300,0,7,13,117
172,11080033,0,0,0,0
173,11131495,22,52,82,357
174,11108923,14,26,52,258
175,11157167,0,0,0,0
176,1112838,12,15,23,127
177,11153910,0,0,0,100
178,11197217,7,11,11,12
179,11319047,13,20,42,257
180,11378656,30,60,90,365
181,11480835,0,0,0,0
182,11567815,0,0,0,0
183,11648810,0,0,0,0
184,11207193,1,3,15,142
185,11264406,0,0,0,42
186,1136399,0,0,0,0
187,11379251,19,48,78,353
188,1138483,14,35,43,125
189,11510109,29,50,55,216
190,11695637,0,0,0,0
191,11335874,0,0,0,0
192,11406680,16,46,76,351
193,11459525,3,14,44,130
194,1146653,30,60,90,365
195,11488558,28,58,88,363
196,11533406,0,0,0,0
197,1153834,23,53,83,358
198,11145180,0,0,0,92
199,11194486,0,0,0,0
200,1145567,30,60,90,365
201,11146498,30,60,90,365
202,11223389,2,5,27,115
203,1143151,7,22,51,322
204,1144090,8,30,40,275
205,11115528,16,40,70,324
206,11447743,6,11,16,266
207,11472884,0,0,0,0
208,11409841,7,30,53,322
209,11567179,0,0,0,0
210,11679106,30,60,90,365
211,11693193,29,42,62,138
212,11194788,30,60,90,365
213,11396243,0,0,0,0
214,11442936,0,0,0,0
215,11553357,30,53,70,345
216,11695887,4,27,57,305
217,11113983,30,60,90,365
218,11136898,21,36,60,333
219,1111410,14,25,39,194
220,1129061,4,6,15,182
221,11553333,7,7,16,180
222,11679012,4,4,4,214
223,11364106,0,0,0,0
224,1139810,10,19,26,92
225,11703559,4,4,10,183
226,11648362,0,0,0,0
227,1169088,2,10,28,223
228,11242147,1,7,23,291
229,11191242,0,0,0,0
230,11193311,28,58,83,358
231,1127954,0,0,0,0
232,1131054,0,0,0,157
233,11387183,30,60,90,365
234,11656239,30,60,90,365
235,11690230,27,57,87,362
236,11413023,12,23,32,259
237,11420459,0,0,0,0
238,11464859,9,19,32,284
239,11566403,0,9,30,143
240,1132409,3,3,16,16
241,11144250,2,32,62,336
242,1117706,0,0,0,0
243,11444539,23,53,75,75
244,11552866,28,58,88,363
245,1155475,14,21,36,245
246,1163119,0,6,36,311
247,116931,0,0,0,193
248,11610598,9,30,55,133
249,11667313,0,0,0,0
250,11695437,2,6,16,135
251,11568230,0,0,0,36
252,11602050,5,35,65,340
253,11603201,0,0,0,0
254,11557363,17,47,77,348
255,1155885,4,10,20,270
256,11567997,0,3,3,3
257,11688660,0,0,0,0
258,11098708,6,27,57,57
259,11130156,30,60,90,365
260,11305966,0,0,0,0
261,1148978,30,60,90,365
262,11719579,0,0,0,0
263,11716047,0,0,0,252
264,11740322,2,27,45,109
265,11764681,0,0,0,180
266,117425,0,0,1,219
267,11757719,30,60,90,365
268,11708,7,14,33,33
269,11753116,14,15,15,15
270,11715762,30,60,90,180
271,11727255,0,0,0,0
272,11737940,28,58,88,88
273,1176693,12,29,59,293
274,11871088,9,30,49,289
275,11933497,0,0,0,0
276,11778959,0,0,0,0
277,11840338,26,56,86,361
278,11948705,30,60,90,365
279,12008712,28,58,88,178
280,11939367,22,45,68,343
281,12014026,0,0,0,0
282,1185644,11,14,25,80
283,11834359,0,0,0,45
284,11835516,30,60,90,365
285,11918738,5,11,17,158
286,11953606,28,58,88,88
287,11792238,0,0,0,0
288,11914814,0,0,0,0
289,11860047,19,49,79,354
290,11860692,0,0,0,0
291,11948645,10,39,69,323
292,11935301,0,0,0,0
293,11921637,0,0,0,0
294,1198074,8,18,35,217
295,12027124,18,48,78,353
296,11890476,29,59,89,364
297,11806776,0,0,0,0
298,11778475,4,8,33,117
299,11902059,17,47,77,352
300,11945972,0,0,0,0
301,11963985,27,57,87,362
302,12004365,0,0,0,0
303,11817249,2,6,8,143
304,1188839,2,16,41,316
305,11848397,7,29,41,154
306,1182474,13,43,73,95
307,1182475,14,35,65,340
308,11846549,25,53,80,155
309,11936451,0,0,0,0
310,1195977,23,53,83,358
311,12010910,0,0,0,0
312,1201871,2,5,21,255
313,11863943,0,0,0,145
314,12046370,0,0,0,199
315,11796483,27,57,87,267
316,11894971,0,0,0,0
317,11987001,28,58,86,233
318,11993586,15,41,64,337
319,12003707,0,0,0,0
320,11779701,0,0,0,0
321,11816864,0,0,0,0
322,12007662,0,0,0,0
323,11835169,2,14,29,179
324,11841749,0,0,0,0
325,1200438,3,15,21,103
326,1206363,13,36,63,232
327,1206820,29,59,89,364
328,12091977,30,60,90,365
329,12083780,5,15,28,222
330,12097507,12,29,53,328
331,1211274,1,3,9,129
332,12104860,0,0,0,0
333,12080961,0,0,0,0
334,12098138,0,0,0,0
335,1209353,13,33,60,210
336,12068078,30,60,90,365
337,12091894,21,51,81,356
338,12088301,30,60,90,365
339,12117514,0,18,25,25
340,12188649,30,60,90,180
341,12112834,30,60,90,90
342,12214471,13,18,35,301
343,12156307,19,45,75,75
344,12142163,30,60,90,365
345,12181533,0,0,0,0
346,1229797,24,54,84,85
347,12430621,22,34,54,329
348,1255979,5,35,65,340
349,12561397,0,8,32,251
350,12639342,7,30,60,80
351,12120988,0,0,0,0
352,12317903,3,5,9,218
353,12373208,4,6,9,176
354,12473031,0,0,0,0
355,12607396,21,33,43,286
356,12654770,0,0,0,0
357,12215468,30,60,90,365
358,12247516,11,20,39,259
359,1229847,0,9,9,262
360,12486648,0,0,0,0
361,12591225,0,0,0,163
362,12628177,0,0,0,17
363,12223067,23,53,83,358
364,12290090,30,60,90,365
365,12396367,0,0,0,0
366,12400621,25,55,82,354
367,12421800,29,59,89,364
368,12601609,0,0,0,0
369,12653230,23,53,83,358
370,12200176,16,34,50,249
371,12354373,30,60,90,90
372,12494415,0,0,0,0
373,12479743,30,57,79,343
374,1266425,2,4,14,252
375,12189083,0,0,0,0
376,12247133,30,60,90,365
377,12296622,6,9,34,296
378,12355178,19,49,79,354
379,12357386,0,0,0,0
380,12378302,8,14,29,108
381,12401124,17,40,58,316
382,12551469,0,0,0,0
383,12552675,0,0,0,0
384,12380012,0,0,0,0
385,12448766,30,60,90,347
386,12489523,0,0,0,0
387,12604062,10,25,55,261
388,12647072,23,53,83,358
389,12655535,10,34,64,137
390,12135865,20,47,71,346
391,12137640,0,0,0,0
392,12220612,3,21,45,320
