,_id,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
0,1003530,10.0,9.0,10.0,10.0,10.0,10.0,94.0
1,10133554,9.0,9.0,10.0,10.0,10.0,9.0,92.0
2,10059872,10.0,10.0,10.0,10.0,10.0,8.0,100.0
3,10084023,10.0,8.0,10.0,10.0,10.0,10.0,92.0
4,10091713,10.0,9.0,10.0,10.0,10.0,9.0,95.0
5,10112159,,,,,,,
6,10096773,10.0,10.0,10.0,10.0,10.0,10.0,100.0
7,10140368,10.0,10.0,10.0,10.0,9.0,10.0,95.0
8,10021707,10.0,10.0,10.0,10.0,8.0,8.0,100.0
9,10038496,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10,10059244,,,,,,,
11,10116578,,,,,,,
12,10009999,,,,,,,
13,10066928,,,,,,,
14,10115921,7.0,7.0,8.0,8.0,10.0,7.0,67.0
15,10083468,10.0,10.0,10.0,10.0,10.0,10.0,97.0
16,10117617,10.0,10.0,10.0,10.0,9.0,10.0,96.0
17,10133350,9.0,8.0,10.0,9.0,9.0,9.0,90.0
18,10051164,10.0,6.0,8.0,8.0,8.0,8.0,80.0
19,10082307,,,,,,,
20,10069642,,,,,,,
21,10108388,10.0,10.0,10.0,10.0,10.0,10.0,100.0
22,10082422,,,,,,,
23,10120414,,,,,,,
24,10138784,10.0,10.0,10.0,10.0,9.0,10.0,99.0
25,10030955,,,,,,,
26,10006546,9.0,9.0,10.0,10.0,10.0,9.0,89.0
27,10047964,10.0,10.0,10.0,10.0,10.0,10.0,100.0
28,1001265,9.0,8.0,9.0,9.0,10.0,9.0,84.0
29,10116256,,,,,,,
30,10109896,,,,,,,
31,10057447,,,,,,,
32,10057826,9.0,10.0,10.0,8.0,9.0,9.0,88.0
33,10092679,10.0,9.0,10.0,10.0,9.0,10.0,99.0
34,10228731,8.0,10.0,10.0,10.0,10.0,10.0,100.0
35,1019168,10.0,9.0,10.0,10.0,10.0,10.0,98.0
36,10240767,10.0,10.0,10.0,10.0,9.0,9.0,96.0
37,1022200,10.0,8.0,10.0,10.0,10.0,10.0,100.0
38,10227000,10.0,10.0,10.0,8.0,10.0,10.0,100.0
39,10186755,,,,,,,
40,10141950,10.0,10.0,10.0,10.0,10.0,10.0,100.0
41,10184012,,,,,,,
42,10233856,8.0,9.0,9.0,9.0,10.0,9.0,83.0
43,10215858,8.0,7.0,9.0,8.0,10.0,8.0,73.0
44,10199760,,,,,,,
45,10201975,9.0,10.0,10.0,10.0,10.0,9.0,92.0
46,10213499,10.0,10.0,10.0,10.0,10.0,10.0,97.0
47,10264100,10.0,9.0,10.0,10.0,10.0,10.0,100.0
48,10209136,10.0,10.0,9.0,9.0,10.0,9.0,95.0
49,10220130,,,,,,,
50,10166986,10.0,8.0,10.0,10.0,10.0,10.0,100.0
51,10166883,10.0,9.0,10.0,10.0,9.0,9.0,95.0
52,1016739,10.0,10.0,10.0,10.0,10.0,9.0,100.0
53,10295352,,,,,,,
54,10267144,10.0,10.0,10.0,10.0,10.0,10.0,99.0
55,10266175,10.0,10.0,10.0,10.0,9.0,9.0,98.0
56,10299095,8.0,8.0,8.0,8.0,8.0,8.0,80.0
57,103161,10.0,10.0,10.0,10.0,10.0,9.0,96.0
58,10269320,10.0,10.0,10.0,10.0,10.0,10.0,96.0
59,102995,9.0,9.0,10.0,10.0,10.0,9.0,93.0
60,10280433,10.0,10.0,10.0,10.0,10.0,10.0,99.0
61,10306879,,,,,,,
62,10423504,10.0,10.0,10.0,10.0,10.0,9.0,96.0
63,10359729,,,,,,,
64,10317142,10.0,9.0,10.0,10.0,10.0,10.0,94.0
65,10578580,9.0,9.0,10.0,10.0,10.0,9.0,95.0
66,10664888,10.0,10.0,10.0,10.0,10.0,10.0,97.0
67,10542174,,,,,,,
68,10570041,10.0,9.0,10.0,10.0,10.0,9.0,91.0
69,1038163,9.0,9.0,10.0,10.0,10.0,9.0,91.0
70,10448594,10.0,10.0,10.0,10.0,10.0,10.0,95.0
71,10487917,9.0,9.0,9.0,9.0,9.0,9.0,89.0
72,10488837,,,,,,,
73,1069531,10.0,9.0,10.0,10.0,10.0,9.0,93.0
74,10545725,10.0,10.0,10.0,10.0,10.0,10.0,100.0
